SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
2610507B11Rik,134.9967374,90.61664311,212.7407149,170.0232703,75.06966694,46.52664274,49.5087333,73.51575526,151.8077057,32.87974291
2610528A11Rik,0,71.26228031,15.12287098,35.00813383,30.24792467,11.98353924,30.68702817,26.87133713,28.46593805,21.40388629
2610528J11Rik,0,7.814060592,0,0,7.656039081,35.28968084,2.034746782,0,0,3.21203221
2700049A03Rik,68.95032025,8.675586983,36.6310501,25.69218506,15.74473757,36.51680044,22.45922836,9.751061535,19.60133729,7.60309849
2700062C07Rik,0,16.90655186,0,24.13977983,5.638081457,16.0260993,4.335162972,2.496145747,0,13.39581926
2700097O09Rik,0,20.24282528,41.74366048,122.3689047,21.29747878,62.3988975,26.75652318,6.431724081,1.489570402,79.18791962
2700099C18Rik,0,3.40048066,0,6.082722867,5.634804247,0,21.15319351,0.868739142,7.776628242,20.85099986
2810004N23Rik,210.7497596,58.58626797,54.46262422,121.8128157,96.09769123,121.7587893,86.61990961,53.56165323,149.4180822,106.2326062
2810021J22Rik,87.82834449,7.708140069,34.51327189,7.713400345,14.2077769,18.20203397,23.13364861,85.51034966,19.8761728,25.70450849
2810025M15Rik,0,19.1086874,0,3.039273761,27.27375059,0,18.46728011,5.130743261,0,0.986001968
2810039B14Rik,20.56433642,90.02555257,224.328501,112.8747433,124.7605821,94.52648015,120.6635561,90.52599008,72.1372034,93.20385093
2810047C21Rik1,0,0,0,0,0,0,0,0,0,0
2810408A11Rik,0,8.003494176,0,3.321125404,1.487008028,0,0.498619008,3.24282019,0,2.388786456
2810459M11Rik,8.391837802,7.92524741,65.86961871,10.81392996,7.073571404,38.83861291,19.67011274,4.90024235,15.31636135,65.63508974
2900026A02Rik,57.75328126,97.96961293,85.09610853,71.4643217,66.95847937,127.8697383,68.30885962,88.19105794,70.52947047,33.39080574
2900092C05Rik,0,3.514150148,0,0,2.105375376,0,0,0,6.677469432,0
3000002C10Rik,169.1672833,69.37822316,215.975167,36.23394016,34.67393239,41.0034774,88.53870829,22.58739851,271.6337156,190.2365669
3110001I22Rik,0,4.484918886,0,11.66973209,6.086163634,0,0.701324718,12.30787312,13.69790475,23.88529011
3110009E18Rik,39.06354408,3.823753161,1.403990449,37.24823796,10.66734345,25.48691524,4.382135017,38.90042661,1.970465952,10.11072211
3110009M11Rik,0,0,0,13.34293724,0,7.461604474,0.793847108,9.609462906,0,29.51277911
3110021N24Rik,0,2.961126725,0,10.36661004,6.320643102,0,0.793812133,0,0,2.457605186
3110040M04Rik,84.03707319,10.48224506,0,11.43264372,13.62838798,0,46.88998822,13.89024167,0,23.38674299
3110040N11Rik,0,10.12289197,0,2.407872425,4.906024279,8.245856088,28.7267028,0,30.38766082,0
3110053B16Rik,212.3178907,84.16080787,193.6416024,129.708102,172.5386219,91.55161439,154.5097869,124.3101051,110.5730738,278.4156658
3110067C02Rik,0,2.952159588,4.76333081,15.03489548,8.420036979,0,15.05719382,11.68796018,8.847767524,8.586695954
3110082I17Rik,0,29.79555717,71.43555623,9.586132552,31.40253961,14.90822677,15.4186761,26.44837408,4.814911287,27.82348776
3110082J24Rik,0,0,0,1.430018366,0,20.87736481,0,0,0,0
